Farm_ID,Crop_Type,Farm_Area_acres,Irrigation_Type,Fertilizer_Used_tons,Pesticide_Used(kg),yield_tonnes,location,Water_Usage_cubicmeters
32,Rice,350.42,Flood,8.4,2.94,6.65,rural,71580.87
33,Cotton,446.76,Drip,7.79,0.96,9.19,rural,93656.06
34,Soybean,264.12,Drip,4.75,4.79,8.02,urban,92745.01
35,Soybean,266.03,Drip,8.57,1.35,8.3,rural,43610.21
36,Cotton,446.16,Manual,4.35,3.47,7.4,rural,38874.28
37,Soybean,156.1,Manual,1.18,4.43,8.29,urban,73646.55
38,Cotton,431.22,Drip,5.71,3.18,5.97,rural,36065.94
39,Cotton,220.48,Flood,9.96,2.91,7.92,urban,82549.03
40,Cotton,166.82,Rain-fed,2.85,1.36,7.2,urban,12007.7
41,Rice,370.79,Flood,8.18,4.99,7.44,rural,85208.71
42,Rice,418.99,Sprinkler,0.78,0.58,6.96,urban,33705.69
43,Cotton,78.79,Flood,1.35,3,11.71,rural,94754.73
44,Soybean,84.12,Manual,4.64,2.53,8.04,rural,40614.4
45,Soybean,326.69,Sprinkler,5.24,0.55,6.97,urban,37466.11
46,Rice,112.8,Sprinkler,1.8,1.01,11.1,rural,79966.1
47,Potato,347.66,Drip,3.86,2.68,8.33,rural,86989.88
48,Potato,77.39,Sprinkler,9.34,3,5.04,urban,5874.17
49,Cotton,462.37,Sprinkler,2.3,0.14,5.75,urban,53879.87
50,Soybean,292.25,Rain-fed,4.08,0.76,6.91,urban,90232.08
51,Cotton,446.76,Drip,7.79,0.96,8.13,rural,93656.06
52,Soybean,264.12,Drip,4.75,4.79,4.39,urban,92745.01
53,Soybean,266.03,Drip,8.57,1.35,6.47,rural,43610.21
54,Cotton,446.16,Manual,4.35,3.47,8.79,rural,38874.28
55,Soybean,156.1,Manual,1.18,4.43,9.45,urban,73646.55
56,Cotton,431.22,Drip,5.71,3.18,10.83,rural,36065.94
57,Cotton,220.48,Flood,9.96,2.91,7.77,urban,82549.03
58,Cotton,166.82,Rain-fed,2.85,1.36,9.56,urban,12007.7
59,Rice,370.79,Flood,8.18,4.99,7.84,rural,85208.71
60,Rice,418.99,Sprinkler,0.78,0.58,9,urban,33705.69
61,Cotton,78.79,Flood,1.35,3,8.73,rural,94754.73
62,Soybean,84.12,Manual,4.64,2.53,5.82,rural,40614.4
63,Soybean,326.69,Sprinkler,5.24,0.55,6.84,urban,37466.11
64,Rice,112.8,Sprinkler,1.8,1.01,5.91,rural,79966.1
65,Potato,347.66,Drip,3.86,2.68,8.32,rural,86989.88
66,Potato,77.39,Sprinkler,9.34,3,8.74,urban,5874.17
67,Cotton,377.05,Drip,5.95,0.91,8.97,urban,26743.55
68,Cotton,92.67,Flood,6.95,3.64,8.64,rural,42874.34
69,Potato,15.67,Drip,9.95,2.99,8.11,rural,41862.86
70,Rice,483.88,Drip,6.31,2.29,8.7,urban,61383.07
71,Cotton,75.64,Flood,6.69,3.57,8,rural,43847.82
72,Cotton,162.28,Flood,5.85,2.42,5.77,urban,65838.4
73,Cotton,375.1,Rain-fed,0.5,4.76,8.33,rural,39362.44
74,Soybean,256.19,Flood,7.32,2.19,8.4,rural,81313.04
75,Cotton,288.52,Manual,1.79,4.78,8.12,urban,23208.04
76,Potato,286.52,Rain-fed,8.91,0.77,9.2,rural,93407.38
77,Cotton,136.16,Flood,5.89,1.36,7.27,urban,30098.35
78,Soybean,350.42,Flood,8.4,2.94,6.35,rural,71580.87
79,Soybean,446.76,Drip,7.79,0.96,8.33,rural,93656.06
80,Cotton,264.12,Drip,4.75,4.79,8.62,urban,92745.01
81,Soybean,266.03,Drip,8.57,1.35,6.86,rural,43610.21
82,Cotton,446.16,Manual,4.35,3.47,5.39,rural,38874.28
83,Cotton,156.1,Manual,1.18,4.43,7.8,urban,73646.55
84,Cotton,431.22,Drip,5.71,3.18,7.97,rural,36065.94
85,Rice,220.48,Flood,9.96,2.91,9.58,urban,82549.03
86,Rice,166.82,Rain-fed,2.85,1.36,7.86,urban,12007.7
87,Cotton,370.79,Flood,8.18,4.99,6.13,rural,85208.71
88,Soybean,418.99,Sprinkler,0.78,0.58,5.81,urban,33705.69
89,Soybean,78.79,Flood,1.35,3,9.86,rural,94754.73
90,Soybean,84.12,Manual,4.64,2.53,7.21,rural,40614.4
91,Soybean,326.69,Sprinkler,5.24,0.55,8.15,urban,37466.11
92,Rice,112.8,Sprinkler,1.8,1.01,6.7,rural,79966.1
93,Potato,347.66,Drip,3.86,2.68,7.67,rural,86989.88
94,Potato,77.39,Sprinkler,9.34,3,9.46,urban,5874.17
95,Cotton,462.37,Sprinkler,2.3,0.14,9.83,urban,53879.87
96,Soybean,292.25,Rain-fed,4.08,0.76,7.35,urban,90232.08
97,Cotton,446.76,Drip,7.79,0.96,7.18,rural,93656.06
98,Soybean,264.12,Drip,4.75,4.79,6.69,urban,92745.01
99,Soybean,266.03,Drip,8.57,1.35,6.15,rural,43610.21
100,Soybean,446.16,Manual,4.35,3.47,5.64,rural,38874.28
